name,age,country,year,sports,gold_medal,silver_medal,brone_medal,total_medal,Date
Michael Phelps,23.0,United States,2008,Swimming,8,0,0,8,2008-08-24
Michael Phelps,19.0,United States,2004,Swimming,6,0,2,8,2004-08-29
Michael Phelps,27.0,United States,2012,Swimming,4,2,0,6,2012-08-12
Natalie Coughlin,25.0,United States,2008,Swimming,1,2,3,6,2008-08-24
Aleksey Nemov,24.0,Russia,2000,Gymnastics,2,1,3,6,2000-10-01
Alicia Coutts,24.0,Australia,2012,Swimming,1,3,1,5,2012-08-12
Missy Franklin,17.0,United States,2012,Swimming,4,0,1,5,2012-08-12
Ryan Lochte,27.0,United States,2012,Swimming,2,2,1,5,2012-08-12
Allison Schmitt,22.0,United States,2012,Swimming,3,1,1,5,2012-08-12
Natalie Coughlin,21.0,United States,2004,Swimming,2,2,1,5,2004-08-29
Ian Thorpe,17.0,Australia,2000,Swimming,3,2,0,5,2000-10-01
Dara Torres,33.0,United States,2000,Swimming,2,0,3,5,2000-10-01
Cindy Klassen,26.0,Canada,2006,Speed Skating,1,2,2,5,2006-02-26
Nastia Liukin,18.0,United States,2008,Gymnastics,1,3,1,5,2008-08-24
Marit Bjørgen,29.0,Norway,2010,Cross Country Skiing,3,1,1,5,2010-02-28
Sun Yang,20.0,China,2012,Swimming,2,1,1,4,2012-08-12
Kirsty Coventry,24.0,Zimbabwe,2008,Swimming,1,3,0,4,2008-08-24
Libby Lenton Trickett,23.0,Australia,2008,Swimming,2,1,1,4,2008-08-24
Ryan Lochte,24.0,United States,2008,Swimming,2,0,2,4,2008-08-24
Inge de Bruijn,30.0,Netherlands,2004,Swimming,1,1,2,4,2004-08-29
Petria Thomas,28.0,Australia,2004,Swimming,3,1,0,4,2004-08-29
Ian Thorpe,21.0,Australia,2004,Swimming,2,1,1,4,2004-08-29
Inge de Bruijn,27.0,Netherlands,2000,Swimming,3,1,0,4,2000-10-01
Gary Hall Jr.,25.0,United States,2000,Swimming,2,1,1,4,2000-10-01
Michael Klim,23.0,Australia,2000,Swimming,2,2,0,4,2000-10-01
Susie O'Neill,27.0,Australia,2000,Swimming,1,3,0,4,2000-10-01
Jenny Thompson,27.0,United States,2000,Swimming,3,0,1,4,2000-10-01
Pieter van den Hoogenband,22.0,Netherlands,2000,Swimming,2,0,2,4,2000-10-01
An Hyeon Su,20.0,South Korea,2006,Short-Track Speed Skating,3,0,1,4,2006-02-26
Aliya Mustafina,17.0,Russia,2012,Gymnastics,1,1,2,4,2012-08-12
Shawn Johnson,16.0,United States,2008,Gymnastics,1,3,0,4,2008-08-24
Dmitry Sautin,26.0,Russia,2000,Diving,1,1,2,4,2000-10-01
Leontien Zijlaard van Moorsel,30.0,Netherlands,2000,Cycling,3,1,0,4,2000-10-01
Petter Northug Jr.,24.0,Norway,2010,Cross Country Skiing,2,1,1,4,2010-02-28
Ole Einar Bjørndalen,28.0,Norway,2002,Biathlon,4,0,0,4,2002-02-24
Janica Kostelic,20.0,Croatia,2002,Alpine Skiing,3,1,0,4,2002-02-24
Nathan Adrian,23.0,United States,2012,Swimming,2,1,0,3,2012-08-12
Yannick Agnel,20.0,France,2012,Swimming,2,1,0,3,2012-08-12
Brittany Elmslie,18.0,Australia,2012,Swimming,1,2,0,3,2012-08-12
Matt Grevers,27.0,United States,2012,Swimming,2,1,0,3,2012-08-12
Ryosuke Irie,22.0,Japan,2012,Swimming,0,2,1,3,2012-08-12
Cullen Jones,28.0,United States,2012,Swimming,1,2,0,3,2012-08-12
Ranomi Kromowidjojo,21.0,Netherlands,2012,Swimming,2,1,0,3,2012-08-12
Camille Muffat,22.0,France,2012,Swimming,1,1,1,3,2012-08-12
Mel Schlanger,25.0,Australia,2012,Swimming,1,2,0,3,2012-08-12
Emily Seebohm,20.0,Australia,2012,Swimming,1,2,0,3,2012-08-12
Rebecca Soni,25.0,United States,2012,Swimming,2,1,0,3,2012-08-12
Satomi Suzuki,21.0,Japan,2012,Swimming,0,1,2,3,2012-08-12
Dana Vollmer,24.0,United States,2012,Swimming,3,0,0,3,2012-08-12
Alain Bernard,25.0,France,2008,Swimming,1,1,1,3,2008-08-24
László Cseh Jr.,22.0,Hungary,2008,Swimming,0,3,0,3,2008-08-24
Matt Grevers,23.0,United States,2008,Swimming,2,1,0,3,2008-08-24
Margaret Hoelzer,25.0,United States,2008,Swimming,0,2,1,3,2008-08-24
Katie Hoff,19.0,United States,2008,Swimming,0,1,2,3,2008-08-24
Leisel Jones,22.0,Australia,2008,Swimming,2,1,0,3,2008-08-24
Kosuke Kitajima,25.0,Japan,2008,Swimming,2,0,1,3,2008-08-24
Andrew Lauterstein,21.0,Australia,2008,Swimming,0,1,2,3,2008-08-24
Jason Lezak,32.0,United States,2008,Swimming,2,0,1,3,2008-08-24
Pang Jiaying,23.0,China,2008,Swimming,0,1,2,3,2008-08-24
Aaron Peirsol,25.0,United States,2008,Swimming,2,1,0,3,2008-08-24
Steph Rice,20.0,Australia,2008,Swimming,3,0,0,3,2008-08-24
Jess Schipper,21.0,Australia,2008,Swimming,1,0,2,3,2008-08-24
Rebecca Soni,21.0,United States,2008,Swimming,1,2,0,3,2008-08-24
Eamon Sullivan,22.0,Australia,2008,Swimming,0,2,1,3,2008-08-24
Dara Torres,41.0,United States,2008,Swimming,0,3,0,3,2008-08-24
Amanda Beard,22.0,United States,2004,Swimming,1,2,0,3,2004-08-29
Antje Buschschulte,25.0,Germany,2004,Swimming,0,0,3,3,2004-08-29
Kirsty Coventry,20.0,Zimbabwe,2004,Swimming,1,1,1,3,2004-08-29
Ian Crocker,21.0,United States,2004,Swimming,1,1,1,3,2004-08-29
Grant Hackett,24.0,Australia,2004,Swimming,1,2,0,3,2004-08-29
Brendan Hansen,22.0,United States,2004,Swimming,1,1,1,3,2004-08-29
Jodie Henry,20.0,Australia,2004,Swimming,3,0,0,3,2004-08-29
Otylia Jedrzejczak,20.0,Poland,2004,Swimming,1,2,0,3,2004-08-29
Leisel Jones,18.0,Australia,2004,Swimming,1,1,1,3,2004-08-29
Kosuke Kitajima,21.0,Japan,2004,Swimming,2,0,1,3,2004-08-29
Laure Manaudou,17.0,France,2004,Swimming,1,1,1,3,2004-08-29
Aaron Peirsol,21.0,United States,2004,Swimming,3,0,0,3,2004-08-29
Kaitlin Sandeno,21.0,United States,2004,Swimming,1,1,1,3,2004-08-29
Roland Schoeman,24.0,South Africa,2004,Swimming,1,1,1,3,2004-08-29
Pieter van den Hoogenband,26.0,Netherlands,2004,Swimming,1,2,0,3,2004-08-29
Therese Alshammar,23.0,Sweden,2000,Swimming,0,2,1,3,2000-10-01
Yana Klochkova,18.0,Ukraine,2000,Swimming,2,1,0,3,2000-10-01
Lenny Krayzelburg,24.0,United States,2000,Swimming,3,0,0,3,2000-10-01
Massimiliano Rosolino,22.0,Italy,2000,Swimming,1,1,1,3,2000-10-01
Petria Thomas,25.0,Australia,2000,Swimming,0,2,1,3,2000-10-01
Matt Welsh,23.0,Australia,2000,Swimming,0,2,1,3,2000-10-01
Lee Jeong Su,20.0,South Korea,2010,Short-Track Speed Skating,2,1,0,3,2010-02-28
Apolo Anton Ohno,27.0,United States,2010,Short-Track Speed Skating,0,1,2,3,2010-02-28
Wang Meng,24.0,China,2010,Short-Track Speed Skating,3,0,0,3,2010-02-28
Jin Seon Yu,17.0,South Korea,2006,Short-Track Speed Skating,3,0,0,3,2006-02-26
Lee Ho Seok,19.0,South Korea,2006,Short-Track Speed Skating,1,2,0,3,2006-02-26
Apolo Anton Ohno,23.0,United States,2006,Short-Track Speed Skating,1,0,2,3,2006-02-26
Wang Meng,20.0,China,2006,Short-Track Speed Skating,1,1,1,3,2006-02-26
Marc Gagnon,26.0,Canada,2002,Short-Track Speed Skating,2,0,1,3,2002-02-24
Yang Yang (A),25.0,China,2002,Short-Track Speed Skating,2,1,0,3,2002-02-24
Stephanie Beckert,21.0,Germany,2010,Speed Skating,1,2,0,3,2010-02-28
Martina Sáblíková,22.0,Czech Republic,2010,Speed Skating,2,0,1,3,2010-02-28
Enrico Fabris,24.0,Italy,2006,Speed Skating,2,0,1,3,2006-02-26
Chad Hedrick,28.0,United States,2006,Speed Skating,1,1,1,3,2006-02-26
Jochem Uytdehaage,25.0,Netherlands,2002,Speed Skating,2,1,0,3,2002-02-24
Sabine Völker,28.0,Germany,2002,Speed Skating,0,2,1,3,2002-02-24
Gregor Schlierenzauer,20.0,Austria,2010,Ski Jumping,1,0,2,3,2010-02-28
Lars Bystøl,27.0,Norway,2006,Ski Jumping,1,0,2,3,2006-02-26
Johnny Spillane,29.0,United States,2010,Nordic Combined,0,3,0,3,2010-02-28
Felix Gottwald,30.0,Austria,2006,Nordic Combined,2,1,0,3,2006-02-26
Georg Hettich,27.0,Germany,2006,Nordic Combined,1,1,1,3,2006-02-26
Felix Gottwald,26.0,Austria,2002,Nordic Combined,0,0,3,3,2002-02-24
Samppa Lajunen,22.0,Finland,2002,Nordic Combined,3,0,0,3,2002-02-24
Aly Raisman,18.0,United States,2012,Gymnastics,2,0,1,3,2012-08-12
Kohei Uchimura,23.0,Japan,2012,Gymnastics,1,2,0,3,2012-08-12
Zou Kai,24.0,China,2012,Gymnastics,2,0,1,3,2012-08-12
Cheng Fei,20.0,China,2008,Gymnastics,1,0,2,3,2008-08-24
Yang Wei,28.0,China,2008,Gymnastics,2,1,0,3,2008-08-24
Yang Yilin,15.0,China,2008,Gymnastics,1,0,2,3,2008-08-24
Zou Kai,20.0,China,2008,Gymnastics,3,0,0,3,2008-08-24
Marian Dragulescu,23.0,Romania,2004,Gymnastics,0,1,2,3,2004-08-29
Paul Hamm,21.0,United States,2004,Gymnastics,1,2,0,3,2004-08-29
Carly Patterson,16.0,United States,2004,Gymnastics,1,2,0,3,2004-08-29
Catalina Ponor,16.0,Romania,2004,Gymnastics,3,0,0,3,2004-08-29
Simona Amânar,20.0,Romania,2000,Gymnastics,2,0,1,3,2000-10-01
Svetlana Khorkina,21.0,Russia,2000,Gymnastics,1,2,0,3,2000-10-01
Yekaterina Lobaznyuk,17.0,Russia,2000,Gymnastics,0,2,1,3,2000-10-01
Yelena Zamolodchikova,17.0,Russia,2000,Gymnastics,2,1,0,3,2000-10-01
Guo Shuang,26.0,China,2012,Cycling,0,2,1,3,2012-08-12
Chris Hoy,32.0,Great Britain,2008,Cycling,3,0,0,3,2008-08-24
Bradley Wiggins,24.0,Great Britain,2004,Cycling,1,1,1,3,2004-08-29
Florian Rousseau,26.0,France,2000,Cycling,2,1,0,3,2000-10-01
Justyna Kowalczyk,27.0,Poland,2010,Cross Country Skiing,1,1,1,3,2010-02-28
Johan Olsson,29.0,Sweden,2010,Cross Country Skiing,1,0,2,3,2010-02-28
Stefania Belmondo,33.0,Italy,2002,Cross Country Skiing,1,1,1,3,2002-02-24
Yuliya Chepalova,25.0,Russia,2002,Cross Country Skiing,1,1,1,3,2002-02-24
Frode Estil,29.0,Norway,2002,Cross Country Skiing,2,1,0,3,2002-02-24
Bente Skari Martinsen,29.0,Norway,2002,Cross Country Skiing,1,1,1,3,2002-02-24
Magdalena Neuner,23.0,Germany,2010,Biathlon,2,1,0,3,2010-02-28
Emil Hegle Svendsen,24.0,Norway,2010,Biathlon,2,1,0,3,2010-02-28
Albina Akhatova,29.0,Russia,2006,Biathlon,1,0,2,3,2006-02-26
Ole Einar Bjørndalen,32.0,Norway,2006,Biathlon,0,2,1,3,2006-02-26
Sven Fischer,34.0,Germany,2006,Biathlon,2,0,1,3,2006-02-26
Martina Glagow Beck,26.0,Germany,2006,Biathlon,0,3,0,3,2006-02-26
Michael Greis,29.0,Germany,2006,Biathlon,3,0,0,3,2006-02-26
Kati Wilhelm,29.0,Germany,2006,Biathlon,1,2,0,3,2006-02-26
Kati Wilhelm,25.0,Germany,2002,Biathlon,2,1,0,3,2002-02-24
Yohan Blake,22.0,Jamaica,2012,Athletics,1,2,0,3,2012-08-12
Usain Bolt,25.0,Jamaica,2012,Athletics,3,0,0,3,2012-08-12
Allyson Felix,26.0,United States,2012,Athletics,3,0,0,3,2012-08-12
Shelly Ann Fraser Pryce,25.0,Jamaica,2012,Athletics,1,2,0,3,2012-08-12
Carmelita Jeter,32.0,United States,2012,Athletics,1,1,1,3,2012-08-12
Usain Bolt,21.0,Jamaica,2008,Athletics,3,0,0,3,2008-08-24
Veronica Campbell Brown,22.0,Jamaica,2004,Athletics,2,0,1,3,2004-08-29
Justin Gatlin,22.0,United States,2004,Athletics,1,1,1,3,2004-08-29
Bode Miller,32.0,United States,2010,Alpine Skiing,1,1,1,3,2010-02-28
Aksel Lund Svindal,27.0,Norway,2010,Alpine Skiing,1,1,1,3,2010-02-28
Anja Pärson,24.0,Sweden,2006,Alpine Skiing,1,0,2,3,2006-02-26
Stephan Eberharter,32.0,Austria,2002,Alpine Skiing,1,1,1,3,2002-02-24
Ding Ning,22.0,China,2012,Table Tennis,1,1,0,2,2012-08-12
Feng Tian Wei,25.0,Singapore,2012,Table Tennis,0,0,2,2,2012-08-12
Li Xiaoxia,24.0,China,2012,Table Tennis,2,0,0,2,2012-08-12
Dmitrij Ovtcharov,23.0,Germany,2012,Table Tennis,0,0,2,2,2012-08-12
Wang Hao,28.0,China,2012,Table Tennis,1,1,0,2,2012-08-12
Zhang Jike,24.0,China,2012,Table Tennis,2,0,0,2,2012-08-12
Guo Yue,20.0,China,2008,Table Tennis,1,0,1,2,2008-08-24
Ma Lin,28.0,China,2008,Table Tennis,2,0,0,2,2008-08-24
Wang Hao,24.0,China,2008,Table Tennis,1,1,0,2,2008-08-24
Wang Liqin,30.0,China,2008,Table Tennis,1,0,1,2,2008-08-24
Wang Nan,29.0,China,2008,Table Tennis,1,1,0,2,2008-08-24
Zhang Yining,26.0,China,2008,Table Tennis,2,0,0,2,2008-08-24
Zhang Yining,22.0,China,2004,Table Tennis,2,0,0,2,2004-08-29
Kong Linghui,24.0,China,2000,Table Tennis,1,1,0,2,2000-10-01
Li Ju,24.0,China,2000,Table Tennis,1,1,0,2,2000-10-01
Liu Guoliang,24.0,China,2000,Table Tennis,0,1,1,2,2000-10-01
Wang Nan,21.0,China,2000,Table Tennis,2,0,0,2,2000-10-01
Viktoriya Azarenko,22.0,Belarus,2012,Tennis,1,0,1,2,2012-08-12
Mike Bryan,34.0,United States,2012,Tennis,1,0,1,2,2012-08-12
Andy Murray,25.0,Great Britain,2012,Tennis,1,1,0,2,2012-08-12
Serena Williams,30.0,United States,2012,Tennis,2,0,0,2,2012-08-12
Fernando González,24.0,Chile,2004,Tennis,1,0,1,2,2004-08-29
Nicolás Massú,26.0,Chile,2004,Tennis,2,0,0,2,2004-08-29
Venus Williams,20.0,United States,2000,Tennis,2,0,0,2,2000-10-01
Ona Carbonell,22.0,Spain,2012,Synchronized Swimming,0,1,1,2,2012-08-12
Andrea Fuentes,29.0,Spain,2012,Synchronized Swimming,0,1,1,2,2012-08-12
Huang Xuechen,22.0,China,2012,Synchronized Swimming,0,1,1,2,2012-08-12
Nataliya Ishchenko,26.0,Russia,2012,Synchronized Swimming,2,0,0,2,2012-08-12
Liu Ou,25.0,China,2012,Synchronized Swimming,0,1,1,2,2012-08-12
Svetlana Romashina,22.0,Russia,2012,Synchronized Swimming,2,0,0,2,2012-08-12
Anastasiya Davydova,25.0,Russia,2008,Synchronized Swimming,2,0,0,2,2008-08-24
Andrea Fuentes,25.0,Spain,2008,Synchronized Swimming,0,2,0,2,2008-08-24
Gemma Mengual,31.0,Spain,2008,Synchronized Swimming,0,2,0,2,2008-08-24
Anastasiya Yermakova,25.0,Russia,2008,Synchronized Swimming,2,0,0,2,2008-08-24
Alison Bartosik,21.0,United States,2004,Synchronized Swimming,0,0,2,2,2004-08-29
Anastasiya Davydova,21.0,Russia,2004,Synchronized Swimming,2,0,0,2,2004-08-29
Anna Kozlova,31.0,United States,2004,Synchronized Swimming,0,0,2,2,2004-08-29
Miya Tachibana,29.0,Japan,2004,Synchronized Swimming,0,2,0,2,2004-08-29
Miho Takeda,27.0,Japan,2004,Synchronized Swimming,0,2,0,2,2004-08-29
Anastasiya Yermakova,21.0,Russia,2004,Synchronized Swimming,2,0,0,2,2004-08-29
Olga Brusnikina,21.0,Russia,2000,Synchronized Swimming,2,0,0,2,2000-10-01
Mariya Kiselyova,25.0,Russia,2000,Synchronized Swimming,2,0,0,2,2000-10-01
Miya Tachibana,25.0,Japan,2000,Synchronized Swimming,0,2,0,2,2000-10-01
